"Data","Estrangeiro","Institucional","Pessoa física","Inst. Financeira","Outros"
"19/02/2026","2.228,09 mi","-1.390,71 mi","-412,81 mi","-356,32 mi","-68,25 mi"
"18/02/2026","-693,26 mi","619,85 mi","159,82 mi","-62,06 mi","-24,34 mi"
"13/02/2026","397,18 mi","552,58 mi","285,09 mi","-1.274,62 mi","39,76 mi"
"12/02/2026","1.152,95 mi","-799,39 mi","415,38 mi","-842,41 mi","73,47 mi"
"11/02/2026","2.434,22 mi","-1.652,06 mi","-1.141,53 mi","463,25 mi","-103,88 mi"
"10/02/2026","573,45 mi","-1.667,67 mi","70,15 mi","1.064,20 mi","-40,12 mi"
"09/02/2026","1.214,38 mi","-972,93 mi","-560,43 mi","374,76 mi","-55,78 mi"
"06/02/2026","41,33 mi","-701,38 mi","81,43 mi","590,23 mi","-11,61 mi"
"05/02/2026","74,16 mi","-1.121,79 mi","133,16 mi","940,18 mi","-25,70 mi"
"04/02/2026","761,19 mi","-1.615,77 mi","717,42 mi","165,14 mi","-27,98 mi"
"03/02/2026","514,70 mi","554,47 mi","-801,78 mi","-133,32 mi","-134,07 mi"
"02/02/2026","1.593,12 mi","-1.638,05 mi","-219,01 mi","260,66 mi","3,27 mi"
"30/01/2026","993,64 mi","-872,04 mi","-65,64 mi","-74,18 mi","18,23 mi"
"29/01/2026","2.258,14 mi","-2.330,13 mi","163,85 mi","-82,75 mi","-9,11 mi"
"28/01/2026","1.336,70 mi","-691,46 mi","-680,84 mi","-49,45 mi","85,06 mi"
"27/01/2026","1.524,71 mi","-1.209,16 mi","-484,74 mi","197,03 mi","-27,84 mi"
"26/01/2026","2.472,11 mi","-2.640,15 mi","158,65 mi","112,50 mi","-103,12 mi"
"23/01/2026","1.970,92 mi","-914,32 mi","-890,82 mi","-73,14 mi","-92,64 mi"
"22/01/2026","3.406,92 mi","-2.283,57 mi","-1.014,92 mi","5,00 mi","-113,44 mi"
"21/01/2026","3.583,55 mi","-1.995,97 mi","-1.482,99 mi","-61,85 mi","-42,73 mi"
"20/01/2026","1.123,23 mi","-1.061,60 mi","20,52 mi","-77,64 mi","-4,52 mi"
"19/01/2026","314,36 mi","-156,01 mi","282,82 mi","-251,95 mi","-189,21 mi"
"16/01/2026","2.115,42 mi","-1.214,53 mi","-425,04 mi","-477,62 mi","1,78 mi"
"15/01/2026","585,08 mi","-1.124,50 mi","-61,38 mi","545,68 mi","55,12 mi"
"14/01/2026","1.646,06 mi","-606,27 mi","-501,92 mi","-545,25 mi","7,38 mi"
"13/01/2026","960,31 mi","-1.320,39 mi","411,76 mi","-320,07 mi","268,38 mi"
"12/01/2026","648,66 mi","-460,80 mi","140,44 mi","-491,89 mi","163,60 mi"
"09/01/2026","624,19 mi","1.607,15 mi","-294,69 mi","-1.953,18 mi","16,53 mi"
"08/01/2026","180,08 mi","137,26 mi","120,89 mi","-87,58 mi","-350,64 mi"
"07/01/2026","1.242,28 mi","-391,17 mi","424,89 mi","-1.131,59 mi","-144,42 mi"
"06/01/2026","457,12 mi","-386,65 mi","135,08 mi","-174,85 mi","-30,70 mi"
"05/01/2026","-212,35 mi","36,07 mi","-19,27 mi","231,66 mi","-36,10 mi"
"02/01/2026","-917,52 mi","340,08 mi","491,88 mi","74,77 mi","10,78 mi"
"30/12/2025","-46,93 mi","-7,35 mi","77,36 mi","-13,62 mi","-9,46 mi"
"29/12/2025","-1.436,15 mi","949,70 mi","333,50 mi","200,31 mi","-47,36 mi"
"26/12/2025","149,88 mi","-733,03 mi","357,89 mi","296,24 mi","-70,97 mi"
"23/12/2025","-122,87 mi","651,37 mi","166,77 mi","-621,54 mi","-73,73 mi"
"22/12/2025","803,40 mi","100,50 mi","441,32 mi","-92,18 mi","-1.253,04 mi"
"19/12/2025","-768,85 mi","3.114,57 mi","-360,17 mi","-2.009,86 mi","24,32 mi"
"18/12/2025","1.528,73 mi","-586,06 mi","138,00 mi","-1.292,72 mi","212,05 mi"
"17/12/2025","-330,07 mi","-159,30 mi","341,48 mi","36,41 mi","111,48 mi"
"16/12/2025","1.469,09 mi","-789,85 mi","816,47 mi","-1.512,06 mi","16,36 mi"
"15/12/2025","-635,14 mi","1.271,51 mi","6,93 mi","866,67 mi","-1.509,97 mi"
"12/12/2025","690,53 mi","-483,63 mi","-79,12 mi","-96,24 mi","-31,54 mi"
"11/12/2025","-916,97 mi","243,88 mi","262,92 mi","434,89 mi","-24,73 mi"
"10/12/2025","122,51 mi","-37,15 mi","143,22 mi","-242,47 mi","13,90 mi"
"09/12/2025","-1.318,08 mi","865,31 mi","292,61 mi","84,47 mi","75,69 mi"
